,address,description,hawker_name,hawker_photo_url,hawker_gmaps_url,hawker_status,longitude,latitude,hawker_coords,q1_start,q1_end,q2_start,q2_end,q3_start,q3_end,q4_start,q4_end
0,"2, Adam Road, Singapore 289876","Built in 1974, Adam Food Centre comprises 32 cooked food stalls.  Although small in size, the hawker centre has a huge reputation.  Popular food offered in the centre includes BBQ Seafood, Nasi Lemak, Prawn Noodles etc.",Adam Road Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,https://www.google.com/maps/search/?api=1&query=Adam+Road+Food+Centre,Existing,103.8141632,1.324131966,"(1.324131966, 103.8141632)",8/3/2021,8/3/2021,7/6/2021,7/6/2021,6/9/2021,6/9/2021,6/12/2021,7/12/2021
1,"Blk 117, Aljunied Ave 2, Singapore 380117","Next to Geylang East Swimming Complex and other amenities, the hawker centre caters to the marketing and dining needs of the residents at Geylang East. The centre was built in 1978 and comprises 79 cooked food stalls and 82 market stalls.",Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,https://www.google.com/maps/search/?api=1&query=Aljunied+Ave+2+Blk+117+(Blk+117+Aljunied+Market+and+Food+Centre),Existing,103.8870926,1.320709944,"(1.320709944, 103.8870926)",15/3/2021,16/3/2021,21/6/2021,22/6/2021,13/9/2021,16/9/2021,13/12/2021,14/12/2021
2,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111","Built in 1983, the two-storey food centre is located within the central business district.  Housing many well-known stalls, the centre has evolved into a favourite lunch venue for executives working near Shenton Way. Be spoilt by the choice of hawker fare at affordable prices!",Amoy Street Food Centre (Telok Ayer Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,https://www.google.com/maps/search/?api=1&query=Amoy+Street+Food+Centre+(Telok+Ayer+Food+Centre),Existing,103.8469849,1.279129028,"(1.279129028, 103.8469849)",6/3/2021,6/3/2021,5/6/2021,5/6/2021,4/9/2021,4/9/2021,4/12/2021,4/12/2021
3,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226","Located next to a food centre, the hawker centre at Block 226D Ang Mo Kio Ave 1 serves the marketing and dining needs of residents living in the Kebun Baru area. The centre was upgraded in 2010 and consists predominantly of market stalls.",Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+1+Blk+226D+(Kebun+Baru+Market+and+Food+Centre),Existing,103.8391876,1.366950035,"(1.366950035, 103.8391876)",15/3/2021,17/3/2021,21/6/2021,21/6/2021,13/9/2021,13/9/2021,13/12/2021,13/12/2021
4,"Blk 29, Bendemeer Road, Singapore 330029","Just a few minutes away from Boon Keng MRT station, the hawker centre is very popular with the nearby residents as well as the workers at Kallang Bahru Industrial Estate because of its location and affordable local cuisines.",Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,https://www.google.com/maps/search/?api=1&query=Bendemeer+Road+Blk+29+(Bendemeer+Market+and+Food+Centre),Existing,103.8630905,1.319280028,"(1.319280028, 103.8630905)",1/3/2021,2/3/2021,17/5/2021,18/5/2021,16/8/2021,17/8/2021,15/11/2021,17/11/2021
5,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341","Located in the heart of Teck Ghee estate and opposite Bishan Park, the 32 cooked food stalls and 86 market stalls within the hawker centre remain a popular choice among patrons despite the availability of alternative marketing and dining facilities nearby.  Popular local dishes are whipped up daily to satisfy patrons' desires for good food!",Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+1+Blk+341+(Teck+Ghee+Court),Existing,103.84832,1.364169955,"(1.364169955, 103.84832)",1/2/2021,2/2/2021,3/5/2021,4/5/2021,16/8/2021,17/8/2021,8/11/2021,10/11/2021
6,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409","Also known as Teck Ghee Square, it is one of the three hawker centres that are situated along Ang Mo Kio Ave 10. Built in 1979, the hawker centre comprises 40 cooked food stalls and 148 market stalls.",Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+10+Blk+409+(Teck+Ghee+Square),Existing,103.8553772,1.362730026,"(1.362730026, 103.8553772)",15/3/2021,16/3/2021,5/7/2021,6/7/2021,13/9/2021,14/9/2021,13/12/2021,15/12/2021
7,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453","Built in 1979, the hawker centre at Blk 453A Ang Mo Kio Ave 10 consists of 38 cooked food stalls and 184 market stalls.",Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+10+Blk+453A+(Chong+Boon+Market+and+Food+Centre),Existing,103.8564377,1.368299961,"(1.368299961, 103.8564377)",22/2/2021,23/2/2021,17/5/2021,18/5/2021,30/8/2021,31/8/2021,22/11/2021,24/11/2021
8,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527","Commonly known as Cheng San Market and Cooked Food Centre, Blk 527 Ang Mo Kio Ave 10 is one of the three hawker centres located along Ang Mo Kio Ave 10. The hawker centre was built in 1979 to serve the dining and marketing needs of nearby residents. Upgraded in 2004, it houses 50 cooked food stalls and 100 market stalls.",Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+10+Blk+527+(Cheng+San+Market+and+Cooked+Food+Centre),Existing,103.8544464,1.37270999,"(1.37270999, 103.8544464)",22/3/2021,23/3/2021,28/6/2021,29/6/2021,27/9/2021,28/9/2021,6/12/2021,8/12/2021
9,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162","Commonly known as Mayflower Market, the hawker centre was built in 1981. It comprises 40 cooked food stalls and 84 market stalls to serve the marketing and dining needs of residents.",Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+4+Blk+160/162+(Mayflower+Market),Existing,103.839241,1.374600053,"(1.374600053, 103.839241)",8/3/2021,8/3/2021,7/6/2021,7/6/2021,27/9/2021,27/9/2021,20/12/2021,22/12/2021
10,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628","Originally built in 1979, the hawker centre is located opposite Yio Chu Kang CC and near schools, temples and residential flats.   After the upgrading in 2010, the rebuilt centre consists of  52 cooked food stalls and 166 market stalls to serve the marketingand dining needs of patrons.",Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+4+Blk+628+(Ang+Mo+Kio+628+Market),Existing,103.8407516,1.38066268,"(1.38066268, 103.8407516)",22/3/2021,24/3/2021,28/6/2021,30/6/2021,27/9/2021,29/9/2021,6/12/2021,10/12/2021
11,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724","Located conveniently in the heart of the bustling Ang Mo Kio Town Centre, the hawker centre is always packed with patrons, especially during the weekends.  Be prepared to queue for your favourite food at popular stalls!",Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Ave+6+Blk+724+(Blk+724+Ang+Mo+Kio+Market),Existing,103.8464966,1.372040033,"(1.372040033, 103.8464966)",15/3/2021,16/3/2021,21/6/2021,22/6/2021,30/8/2021,31/8/2021,27/12/2021,28/12/2021
12,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226","Commonly known as Kebun Bahru Food Centre, the food centre was built in 1976 to serve the dining needs of Kebun Baru residents. Comprises 29 cooked food stalls.",Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,https://www.google.com/maps/search/?api=1&query=Ang+Mo+Kio+Street+22+Blk+226H+(Kebun+Baru+Food+Centre),Existing,103.8399429,1.367266059,"(1.367266059, 103.8399429)",15/3/2021,17/3/2021,21/6/2021,21/6/2021,13/9/2021,13/9/2021,13/12/2021,13/12/2021
13,"1, Bedok Road, Singapore 469572","Located at the corner of Upper East Coast Road, Bedok Food Centre is a favourite haunt for residents in the vicinity and army personnel from nearby barracks. Upgraded in 2005, the fa?ade resembles that of an old Malay ""kampong"" house. Famous for hawker fare such as Hokkien Mee, Desserts, Malay Dishes and more, the hawker centre houses 32 cooked food stalls.",Bedok Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,https://www.google.com/maps/search/?api=1&query=Bedok+Food+Centre,Existing,103.9554749,1.320353031,"(1.320353031, 103.9554749)",22/3/2021,22/3/2021,14/6/2021,15/6/2021,20/9/2021,20/9/2021,13/12/2021,15/12/2021
14,"Blk 216, Bedok North Street 1, Singapore 460216","Built in 1979, the hawker centre at Blk 216 Bedok North Street 1 comprises 82 cooked food stalls and 114 market stalls. A stone's throw away from Bedok Town Centre.",Bedok North Street 1 Blk 216,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,https://www.google.com/maps/search/?api=1&query=Bedok+North+Street+1+Blk+216,Existing,103.9332962,1.327119946,"(1.327119946, 103.9332962)",1/3/2021,1/3/2021,6/6/2021,6/6/2021,5/9/2021,5/9/2021,30/11/2021,4/12/2021
15,"Blk 511, Bedok North Street 3, Singapore 460511","Built in 1979, the hawker centre at Blk 511 Bedok North Street 3 comprises 42 cooked food stalls and 83 market stalls to serve both the dining and marketing needs of residents living in the Kaki Bukit area. Be pampered by the wide selection of hawker fare!  Crowded during dinner and supper hours.",Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg,https://www.google.com/maps/search/?api=1&query=Bedok+North+Street+3+Blk+511+(Kaki+Bukit+511+Market+and+Food+Centre),Existing,103.930687,1.333310008,"(1.333310008, 103.930687)",22/3/2021,22/3/2021,28/6/2021,2/7/2021,27/9/2021,27/9/2021,6/12/2021,6/12/2021
16,"Blk 538, Bedok North Street 3, Singapore 460538","Built in 1979, the hawker centre at Blk 538 Bedok North Street 3 comprises 42 cooked food stalls and 134 market stalls. One of the popular hawker centres in the Bedok area.",Bedok North Street 3 Blk 538,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,https://www.google.com/maps/search/?api=1&query=Bedok+North+Street+3+Blk+538,Existing,103.9247208,1.332100034,"(1.332100034, 103.9247208)",15/3/2021,15/3/2021,31/5/2021,4/6/2021,13/9/2021,13/9/2021,13/12/2021,13/12/2021
17,"Blk 85, Bedok North Street 4, Singapore 460085","A popular supper destination for night owls from all over the island.  The hawker centre features a wide array of hawker fare such as Bak Chor Mee, Porridge, BBQ Chicken Wings and Seafood, Fried Oysters etc.  Definitely a favourite haunt for the sleepless!",Bedok North Street 4 Blk 85 (85 Fengshan Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,https://www.google.com/maps/search/?api=1&query=Bedok+North+Street+4+Blk+85+(85+Fengshan+Centre),Existing,103.9388123,1.332059979,"(1.332059979, 103.9388123)",18/1/2021,19/1/2021,3/5/2021,4/5/2021,2/8/2021,3/8/2021,22/11/2021,26/11/2021
18,"Blk 630, Bedok Reservoir Road, Singapore 470630","Located within walking distance from the Eunos Community Club, the centre is a convenient place which meets the dining and marketing needs of residents living at Bedok Reservoir Road. Upgraded in 2006, it houses 36 cooked food stalls and 75 market stalls.",Bedok Reservoir Road Blk 630,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg,https://www.google.com/maps/search/?api=1&query=Bedok+Reservoir+Road+Blk+630,Existing,103.9142075,1.332980037,"(1.332980037, 103.9142075)",8/3/2021,8/3/2021,21/6/2021,21/6/2021,27/9/2021,1/10/2021,6/12/2021,6/12/2021
19,"Blk 16, Bedok South Road, Singapore 460016","Located near schools, factories and housing estates in the Bedok South area, this hawker centre is an accessible hotspot for patrons looking for an economical meal.",Bedok South Road Blk 16,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,https://www.google.com/maps/search/?api=1&query=Bedok+South+Road+Blk+16,Existing,103.9355469,1.320559978,"(1.320559978, 103.9355469)",15/3/2021,15/3/2021,17/5/2021,17/5/2021,12/7/2021,12/7/2021,8/11/2021,10/11/2021
20,"38A, Beo Crescent, Singapore 169982","Located near to Tiong Bahru MRT station and PSB Academy, Beo Crescent Market/Food Centre was built in 1965.  The centre serves the mature estate of Havelock and Tiong Bahru area.",Beo Crescent Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,https://www.google.com/maps/search/?api=1&query=Beo+Crescent+Market,Existing,103.8272476,1.28848803,"(1.28848803, 103.8272476)",15/3/2021,15/3/2021,7/6/2021,7/6/2021,13/9/2021,15/9/2021,6/12/2021,6/12/2021
21,"166, Jalan Besar, Singapore 208877","Located along Jalan Besar Road, Berseh Food Centre houses 66 cooked food stalls. Built in 1975, the food centre presents an added nostalgic flavour with the rows of meticulously restored pre-war shophouses surrounding it.",Berseh Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,https://www.google.com/maps/search/?api=1&query=Berseh+Food+Centre,Existing,103.8568497,1.307335019,"(1.307335019, 103.8568497)",29/3/2021,29/3/2021,28/6/2021,28/6/2021,27/9/2021,27/9/2021,27/12/2021,28/12/2021
22,"Blk 221A/B, Boon Lay Place, Singapore 641221/642221","Located beside Boon Lay Shopping Centre, the hawker centre at Blk 221A/B Boon Lay Place provides marketing and dining amenities for residents living in Boon Lay. Built in 1976, the centre comprises 72 cooked food stalls and 94 market stalls.",Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg,https://www.google.com/maps/search/?api=1&query=Boon+Lay+Place+Blk+221A/B+(Boon+Lay+Place+Market+and+Food+Village),Existing,103.7128525,1.345280051,"(1.345280051, 103.7128525)",5/4/2021,6/4/2021,21/6/2021,22/6/2021,6/9/2021,9/9/2021,29/11/2021,30/11/2021
23,"Blk 665, Buffalo Road, Singapore 210665","More commonly known as Tekka Centre, the hawker centre is a popular haunt for marketing and dining needs, especially with the Indian community. An amazing variety of fresh produce is sold at the market.  Built in 1980, it is the second largest hawker centre in Singapore housing more than 400 stalls. An iconic landmark in the Little India area!",Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg,https://www.google.com/maps/search/?api=1&query=Buffalo+Road+Blk+665+(Tekka+Centre/Zhu+Jiao+Market),Existing,103.8506699,1.306190014,"(1.306190014, 103.8506699)",15/3/2021,17/3/2021,21/6/2021,22/6/2021,13/9/2021,14/9/2021,6/12/2021,7/12/2021
24,"51 Hougang Avenue 9, Singapore 538776","Built in 2015, Ci Yuan hawker centre is the first to be built since 1985. The hawker centre is located at the 1st storey of Ci Yuan Community Club and comprises of 40 cooked food stalls. All the stalls are selling different food items and serving at least two items priced at $2.80 or below to ensure food price affordability. Ci Yuan hawker centre also has new facilities to accommodate the needs of different users to create a more pleasant dining experience for all.  These include family-friendly facilities such as child-friendly seating, point-of-sale system and self-payment kiosks.  For more information, please refer to: http://ciyuanhawker.com.sg/",Ci Yuan Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,https://www.google.com/maps/search/?api=1&query=Ci+Yuan+Hawker+Centre,Existing (new),103.8829472,1.3749377,"(1.3749377, 103.8829472)",1/3/2021,1/3/2021,31/5/2021,31/5/2021,30/8/2021,30/8/2021,29/11/2021,29/11/2021
25,"Blk 163, Bukit Merah Central, Singapore 150163","Located in the heart of Bukit Merah Central, the food centre consists of 57 cooked food stalls. Extremely well liked by office executives working in the vicinity, the centre bustles with activity during lunch hours. Popular dishes include Ngoh Hiang, Chicken Rice, Teochew Porridge, Fish Soup, Char Kway Teow and Goreng Pisang. Be prepared to be spoilt for choice!",Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg,https://www.google.com/maps/search/?api=1&query=Bukit+Merah+Central+Blk+163+(Bukit+Merah+Central+Food+Centre),Existing,103.8171082,1.283740044,"(1.283740044, 103.8171082)",27/3/2021,28/3/2021,19/6/2021,20/6/2021,25/9/2021,26/9/2021,18/12/2021,19/12/2021
26,"Blk 120, Bukit Merah Lane, Singapore 150120","Opposite the Queenstown Shopping Centre, the hawker centre, also commonly known as Alexandra Food Village, is home to a number of ""yummylicious"" local dishes such as Chicken Rice, Claypot Laksa, Bak Ku Teh etc.",Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg,https://www.google.com/maps/search/?api=1&query=Bukit+Merah+Lane+1+Blk+120+(Alexandra+Village+Food+Centre),Existing,103.8045502,1.286360025,"(1.286360025, 103.8045502)",1/3/2021,1/3/2021,31/5/2021,31/5/2021,27/9/2021,27/9/2021,6/12/2021,6/12/2021
27,"Blk 115, Bukit Merah View, Singapore 151115","Built in 1973, the hawker centre comprises 84 cooked food stalls and 167 market produce stalls. Located in Henderson area and near to office buildings, schools and residential flats, it is one of the largest hawker centres in Bukit Merah.",Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,https://www.google.com/maps/search/?api=1&query=Bukit+Merah+View+Blk+115+(Blk+115+Bukit+Merah+View+Market+and+Food+Centre),Existing,103.8223724,1.285240054,"(1.285240054, 103.8223724)",15/3/2021,16/3/2021,28/6/2021,29/6/2021,27/9/2021,28/9/2021,6/12/2021,8/12/2021
28,"2 Bukit Panjang Ring Road, Singapore 679947","Bukit Panjang Hawker Centre & Market is one of the 10 new centres announced by the Government. Among the 10 centres, it is the second to start operations, after the Hougang Ci Yuan Hawker Centre. Bukit Panjang Hawker Centre & Market has 28 cooked food stalls, 14 market slab stalls and 14 lock-up stalls located on both floors of the two-storeyed building.  It also has a sundry store on the second floor.",Bukit Panjang Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,https://www.google.com/maps/search/?api=1&query=Bukit+Panjang+Hawker+Centre,Existing (new),103.772432,1.378269,"(1.378269, 103.772432)",8/3/2021,10/3/2021,7/6/2021,8/6/2021,6/9/2021,7/9/2021,6/12/2021,7/12/2021
29,"51, Upper Bukit Timah Road, Singapore 588215","Located along Upper Bukit Timah Road, the two-storey hawker centre was built in 1975 and was upgraded in 2003. A popular hawker centre serving the dining and marketing needs of residents living around Toh Yi Drive. Well-known for the variety of hawker fare, the centre is usually packed with patrons during peak hours. Comprises 84 cooked food stalls and 94 market stalls.",Bukit Timah Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,https://www.google.com/maps/search/?api=1&query=Bukit+Timah+Market,Existing,103.7758026,1.339645028,"(1.339645028, 103.7758026)",22/2/2021,22/2/2021,31/5/2021,2/6/2021,13/9/2021,13/9/2021,29/11/2021,29/11/2021
30,"Blk 41A, Cambridge Road, Singapore 211041","More commonly known as Pek Kio Market and Food Centre, the hawker centre was built in 1981 to serve residents staying nearby.  The centre was upgraded in 2003 and currently houses 50 cooked food stalls and 74 market stalls. Many stalls offer delicious yet suprisingly affordable dishes. Get ready for a gastronomic experience!",Cambridge Road Blk 41A (Pek Kio Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,https://www.google.com/maps/search/?api=1&query=Cambridge+Road+Blk+41A+(Pek+Kio+Market+and+Food+Centre),Existing,103.8503036,1.316200018,"(1.316200018, 103.8503036)",18/1/2021,18/1/2021,19/4/2021,19/4/2021,12/7/2021,13/7/2021,11/10/2021,11/10/2021
31,"Blk 2/3, Changi Village Road, Singapore 500002/500003","Located at the eastern end of Singapore near to Changi Point Ferry Terminal and Changi Beach, the popular hawker centre draws food lovers from all over the island. Be wowed by the great variety of  hawker fare available e.g. Nasi Lemak, BBQ Seafood, Fried Wan Ton Noodles etc.  Built in 1975, this centre comprises 87 cooked food stalls and 50 market stalls.",Changi Village Blk 2 and 3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,https://www.google.com/maps/search/?api=1&query=Changi+Village+Blk+2+and+3,Existing,103.9881821,1.389719963,"(1.389719963, 103.9881821)",11/1/2021,13/1/2021,5/4/2021,7/4/2021,5/7/2021,7/7/2021,11/10/2021,15/10/2021
32,"20, Kensington Park Road, Singapore 557269","Located in Serangoon Gardens, Chomp Chomp Food Centre is well-known for its vibrant dinner and supper scene. Bustling with diners even till late at night, the 36 cooked food stalls in the small hawker centre serve popular local dishes such as Char Kway Teow, BBQ Chicken Wings, Seafood etc. This Centre attracts food lovers from all over the island.",Chomp Chomp Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,https://www.google.com/maps/search/?api=1&query=Chomp+Chomp+Food+Centre,Existing,103.8665314,1.36422801,"(1.36422801, 103.8665314)",29/3/2021,31/3/2021,28/6/2021,28/6/2021,27/9/2021,29/9/2021,27/12/2021,27/12/2021
33,"Blk 79/79A, Circuit Road, Singapore 370079/371079","Built in 1971, the hawker centre is sited beside the Pelton Canal in Paya Lebar. One of the three hawker centres at Ciruit Road, the centre comprises 106 cooked food stalls. After upgrading in 2010, a new outdoor refreshment area has been added to provide a unique alfresco dining experience to patrons.",Circuit Road Blk 79/79A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,https://www.google.com/maps/search/?api=1&query=Circuit+Road+Blk+79/79A,Existing,103.8851166,1.326660037,"(1.326660037, 103.8851166)",8/3/2021,9/3/2021,28/6/2021,29/6/2021,20/9/2021,22/9/2021,27/12/2021,28/12/2021
34,"Blk 80, Circuit Road, Singapore 370080","Built in 1967, the hawker centre at Blk 80 Circuit Road comprises 16 cooked food stalls and 43 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,https://www.google.com/maps/search/?api=1&query=Circuit+Road+Blk+80+(80+Circuit+Road+Market+and+Food+Centre),Existing,103.8871536,1.327900052,"(1.327900052, 103.8871536)",4/1/2021,4/1/2021,5/4/2021,5/4/2021,5/7/2021,7/7/2021,11/10/2021,11/10/2021
35,"Blk 89, Circuit Road, Singapore 370089","Built in 1967, the hawker centre at Blk 89 Circuit Road comprises 40 cooked food stalls and 93 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",Circuit Road Blk 89,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,https://www.google.com/maps/search/?api=1&query=Circuit+Road+Blk+89,Existing,103.8855209,1.323639989,"(1.323639989, 103.8855209)",1/3/2021,1/3/2021,7/6/2021,7/6/2021,27/9/2021,28/9/2021,6/12/2021,6/12/2021
36,"Blk 353, Clementi Ave 2, Singapore 120353","Built in 1978, the hawker centre has evolved into a focal point for residents to dine and engage in social bonding. Blk 353 Clementi Ave 2 comprises 18 cooked food stalls and 96 market stalls.",Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,https://www.google.com/maps/search/?api=1&query=Clementi+Ave+2+Blk+353+(Clementi+Ave+2+Market/Cooked+Food+Centre),Existing,103.7707748,1.314337969,"(1.314337969, 103.7707748)",1/3/2021,2/3/2021,17/5/2021,18/5/2021,2/8/2021,3/8/2021,15/11/2021,17/11/2021
37,"Blk 448, Clementi Ave 3, Singapore 120448","Located in the town centre of Clementi, the hawker centre at Blk 448 Clementi Ave 3 is within walking distance from Clementi MRT station and the bus interchange. Good food offerings and its strategic location make the centre popular with diners.",Clementi Ave 3 Blk 448,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg,https://www.google.com/maps/search/?api=1&query=Clementi+Ave+3+Blk+448,Existing,103.7645874,1.313349962,"(1.313349962, 103.7645874)",29/3/2021,30/3/2021,28/6/2021,29/6/2021,27/9/2021,28/9/2021,27/12/2021,30/12/2021
